0.00000 0.26201
0.02737 0.26201
0.05226 0.26201
0.07838 0.25480
0.10451 0.24825
0.13188 0.24367
0.15801 0.24236
0.18414 0.24105
0.21275 0.23908
0.23764 0.24105
0.25754 0.24039
0.29238 0.24039
0.31851 0.24498
0.34339 0.24498
0.37076 0.24694
0.39813 0.22795
0.42675 0.21354
0.45412 0.19978
0.48149 0.17031
0.51135 0.15852
0.53872 0.13428
0.56485 0.11921
0.58103 0.09694
0.59720 0.08646
0.60467 0.07205
0.61586 0.05961
0.62457 0.03144
0.64946 0.01769
0.67807 0.02555
0.70420 0.03537
0.75272 0.03603
0.80747 0.03210
0.84852 0.02751
0.88958 0.02293
