0.00000 0.20731
0.02561 0.20943
0.05000 0.20590
0.07805 0.20377
0.10488 0.20236
0.12927 0.20024
0.15488 0.19882
0.18171 0.19882
0.20854 0.19811
0.23659 0.19811
0.25366 0.19458
0.28902 0.19175
0.31585 0.20377
0.34268 0.20731
0.36829 0.20236
0.39390 0.19387
0.45000 0.18255
0.50488 0.15708
0.53049 0.14363
0.57561 0.11321
0.59024 0.10401
0.60854 0.08632
0.63171 0.08561
0.65000 0.09127
0.67195 0.08703
0.69878 0.08632
0.72561 0.08420
0.75244 0.08420
0.77805 0.08561
0.80732 0.08774
0.83537 0.08986
0.88659 0.09481
