0.00000 0.22516
0.02322 0.22386
0.05225 0.22256
0.07779 0.22061
0.10334 0.22061
0.12888 0.22386
0.15443 0.22646
0.18113 0.23102
0.20784 0.23232
0.23570 0.23427
0.25312 0.23492
0.28911 0.23623
0.31814 0.23623
0.34253 0.23102
0.37039 0.22451
0.39826 0.21866
0.42496 0.20629
0.45051 0.19523
0.47837 0.17180
0.51089 0.16464
0.53411 0.14837
0.56313 0.13015
0.58171 0.11649
0.59332 0.09761
0.60261 0.07744
0.60958 0.06117
0.62003 0.04751
0.63396 0.03059
0.65022 0.02408
0.67460 0.03059
0.72685 0.04490
0.78374 0.04881
0.80813 0.05922
0.83599 0.06508
0.89289 0.06703
